Query,Sentiment
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
Thanks a lot!,Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
You've been very helpful!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
Thank you for your help!,Positive
I really appreciate your assistance!,Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
I couldn't have done it without you!,Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
"You're very helpful, I appreciate it!",Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
Thanks a lot!,Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
Thank you for your help!,Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
I really appreciate your assistance!,Positive
"This is exactly what I needed, thank you!",Positive
I couldn't have done it without you!,Positive
You've been very helpful!,Positive
I couldn't have done it without you!,Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"You solved my problem, thank you!",Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
"That's amazing, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"You solved my problem, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
I really appreciate your assistance!,Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
Thanks a lot!,Positive
Thanks a lot!,Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
"You solved my problem, thank you!",Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
You've been very helpful!,Positive
"Great service, thanks!",Positive
Thanks a lot!,Positive
"You solved my problem, thank you!",Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"That's amazing, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"You solved my problem, thank you!",Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
"This is exactly what I needed, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
"This is exactly what I needed, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
"Great service, thanks!",Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"You solved my problem, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
Thanks a lot!,Positive
You've been very helpful!,Positive
Thanks a lot!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
Thank you for your help!,Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
"This is exactly what I needed, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
Thanks a lot!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
Thank you for your help!,Positive
"Great service, thanks!",Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
Thanks a lot!,Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
"You solved my problem, thank you!",Positive
You've been very helpful!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
Thanks a lot!,Positive
You've been very helpful!,Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
You've been very helpful!,Positive
You've been very helpful!,Positive
Thanks a lot!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
You've been very helpful!,Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
"That's amazing, thank you!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
Thanks a lot!,Positive
Thanks a lot!,Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
Thank you for your help!,Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
"You're very helpful, I appreciate it!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
Thank you for your help!,Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
You've been very helpful!,Positive
"That's amazing, thank you!",Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
Thank you for your help!,Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
Thanks a lot!,Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
Thank you for your help!,Positive
Thanks a lot!,Positive
"You solved my problem, thank you!",Positive
"You solved my problem, thank you!",Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"Great service, thanks!",Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
"This is exactly what I needed, thank you!",Positive
"That's amazing, thank you!",Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
I couldn't have done it without you!,Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
I really appreciate your assistance!,Positive
"You solved my problem, thank you!",Positive
"Great service, thanks!",Positive
"This is exactly what I needed, thank you!",Positive
"Great service, thanks!",Positive
I really appreciate your assistance!,Positive
I couldn't have done it without you!,Positive
Thanks a lot!,Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
You've been very helpful!,Positive
I really appreciate your assistance!,Positive
Thank you for your help!,Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I really appreciate your assistance!,Positive
"You're very helpful, I appreciate it!",Positive
Thanks a lot!,Positive
I couldn't have done it without you!,Positive
You've been very helpful!,Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"That's amazing, thank you!",Positive
"That's amazing, thank you!",Positive
"You're very helpful, I appreciate it!",Positive
I couldn't have done it without you!,Positive
Thank you for your help!,Positive
"This is exactly what I needed, thank you!",Positive
"You solved my problem, thank you!",Positive
I couldn't have done it without you!,Positive
"You're very helpful, I appreciate it!",Positive
You've been very helpful!,Positive
"You're very helpful, I appreciate it!",Positive
Thank you for your help!,Positive
